item_id_1,item_id_2,score,pair_type,role_1,role_2
1292500002,1303105005,4,base_bottom,base,bottom
1299843003,1293471002,1,base_bottom,base,bottom
1290269001,1293471002,3,base_bottom,base,bottom
1290575001,1236909018,5,base_bottom,base,bottom
1290269003,1296510001,1,base_bottom,base,bottom
1280449007,1264094004,1,base_mid,base,mid
1296534001,1296510001,5,base_bottom,base,bottom
1295098001,1273712004,5,base_bottom,base,bottom
1294732003,1247995004,4,base_bottom,base,bottom
1287140003,1266486001,2,base_bottom,base,bottom
1294732003,1255322001,1,base_bottom,base,bottom
1296539001,1289600008,1,base_mid,base,mid
1191700036,1247995001,4,base_bottom,base,bottom
1280449007,1239431014,1,base_mid,base,mid
1296667004,1299197001,1,base_bottom,base,bottom
0963662139,1255322004,5,base_bottom,base,bottom
1309874001,1292768003,2,base_bottom,base,bottom
1142908001,1239431014,5,base_mid,base,mid
1299542003,1293121003,1,base_mid,base,mid
1290269001,1294598005,4,base_bottom,base,bottom
1299061004,1281439001,5,base_bottom,base,bottom
1296546001,1233274002,5,base_bottom,base,bottom
1274171055,1260797009,1,base_mid,base,mid
1292500001,1302636001,1,base_mid,base,mid
1294732003,1247671007,1,base_mid,base,mid
1295098001,1296491001,2,base_bottom,base,bottom
1290575001,1289533003,3,base_bottom,base,bottom
1301327001,1293165001,1,base_bottom,base,bottom
1296379008,1303363002,1,base_mid,base,mid
1300636001,1296063003,1,base_bottom,base,bottom
1293965004,1222124007,3,base_bottom,base,bottom
0925212001,1272891004,5,base_bottom,base,bottom
1295098001,0579541192,1,base_mid,base,mid
1295098001,1310906001,2,base_bottom,base,bottom
1295275001,1295117003,4,base_bottom,base,bottom
1290269001,1295387004,1,base_mid,base,mid
1290269003,1230818008,3,base_bottom,base,bottom
1295098001,1255289001,1,base_bottom,base,bottom
1288338004,1281439007,1,base_bottom,base,bottom
1299843003,1283192003,5,base_bottom,base,bottom
1293967005,1233274002,5,base_bottom,base,bottom
1301327001,1293761006,5,base_bottom,base,bottom
1293965004,1259079003,1,base_bottom,base,bottom
1300096001,1222124005,5,base_bottom,base,bottom
1290575001,1247671007,1,base_mid,base,mid
1274171055,1266486001,5,base_bottom,base,bottom
1274171089,1292331002,4,base_bottom,base,bottom
1185135006,1255322001,1,base_bottom,base,bottom
1300096001,1089158025,1,base_mid,base,mid
1142908008,1261908001,5,base_bottom,base,bottom
1300096001,1288135004,4,base_bottom,base,bottom
1274171055,1089158025,2,base_mid,base,mid
1258821004,1307045001,5,base_bottom,base,bottom
1266751003,1274562002,1,base_bottom,base,bottom
1287140003,1297835002,1,base_bottom,base,bottom
1299061004,1292829001,1,base_bottom,base,bottom
1299730001,0579541001,1,base_mid,base,mid
1288338004,1246584004,1,base_mid,base,mid
1300096001,1295126001,5,base_bottom,base,bottom
1273994008,1299858003,2,base_bottom,base,bottom
1303788002,1297861004,1,base_mid,base,mid
1293190004,1237776011,1,base_mid,base,mid
1274171055,1296510001,2,base_bottom,base,bottom
1309874001,1295117001,2,base_bottom,base,bottom
1301327001,1237776011,1,base_mid,base,mid
1267641004,1290172001,3,base_bottom,base,bottom
1191700036,1307156001,1,base_mid,base,mid
1290269001,1089158025,5,base_mid,base,mid
1280449007,1237776012,1,base_mid,base,mid
0963662139,1307156001,5,base_mid,base,mid
